Name,RA,DEC
4u0115,01 18 31.9,+63 44 24
OC457,01 36 58.6,+47 51 29
3C 66A,02 22 39.6,+43 02 08
AO0235+16,02 38 38.9,+16 36 59
3C 84,03 19 48.2,+41 30 42
IC 310,03 16 43,+41 19 30
RBS0413,03 19 51.8,+18 45 34
CTA 26,03 39 31,-01 46 36
1ES 0414+00.9,04 16 52.5,+01 05 24
3C111,04 18 21.3,+38 01 36
CI Cam,04 19 45,+56 00 00
PKS 0420-01,04 23 15.8,-01 20 33
RX J0509.3+0541,05 09 25.9,+05 41 35.0
RX J0521.7+2112,05 21 45.9,+21 12 51.5
PKS 0528+134,05 30 56.4,+13 31 55
V1118 Ori,05 34 44,-05 33 41
1ES 0647,06 50 46.5,+25 03 00
RXJ0648,06 48 48,+15 16 25
B3 0650+453,06 50 24,+45 14 24
S5 0716+71,07 21 53.4,+71 20 36
PKS 0735+17,07 38 07.4,+17 42 19
1ES 0806+52,08 09 49.2,+52 18 58
OJ 248,08 30 52.1,+24 11 00
OJ 49,08 31 48.9,+04 29 39
q0836 =4C 71.07,08 41 24.3,+70 53 42
OJ 287,08 54 48.9,+20 06 31
S4 0954+65,09 58 47.2,+65 33 55
S4 1030,10 33 51.7,+60 51 06
PKS1055,10 58 29.6,+01 33 59
Mkn 421,11 04 27.3,+38 12 32
Q1156=4C 29.45,11 59 31.8,+29 14 44
ON 231=W Com,12 21 31.7,+28 13 59
PKS 1222,12 24 54.4,+21 22 46
3C 273,12 29 06.7,+02 03 09
3C 279,12 56 11.1,-05 47 22
B2 1308+32,13 10 28.7,+32 20 43.8
PKS1406-076,14 08 56.5,-07 52 27
B2 1420+32,14 22 30.40,32 23 10
1ES 1426+428,14 28 32.6,+42 40 21
PKS 1510-08,15 12 50.5,-09 06 00
PG 1553,15 55 43,+11 11 24
q1611 =DA 406,16 13 41.0,+34 12 48
q1633 =4C 38.41,16 35 15.5,+38 08 04
3C 345,16 42 58.8,+39 48 37
Mkn 501,16 53 52.2,+39 45 37
H 1722,17 25 04.4,+11 52 16
q1739 =4C 51.37,17 40 37.0,+52 11 43
OT081,17 51 32.8,+09 39 01
3C 371,18 06 50.7,+69 49 28
LS5039,18 26 15.0,-14 51 00
Q1959,19 59 59.8,+65 08 54
AGN2001,20 01 12.9,+43 52 52
EXO2030+375,20 32 15.28,+37 38 14.8
PV Cep,20 45 53.9,+67 57 39
HBC 722,20 58 17.025,+43 53 43.39
V1057 Cyg,20 58 53.9,+44 15 27
J 2103,21 03 35.7,+45 45 04
PKS 2131-021,21 34 10.3,-01 53 17
BL Lacertae,22 02 43.3,+42 16 40
3C446,22 25 47.3,-04 57 01
CTA 102,22 32 36.4,+11 43 51
GM Cep,21 38 17.32,+57 31 22.0
3C 454.3,22 53 57.7,+16 08 54
HRC 316,22 57 41.1,+58 49 12
1ES 2344+514,23 47 04.8,+51 42 18
